keys,en,fr,es,pt,de,it,ru,tr,pl,id,vi,uk,el
This game won't count.,This game won't count.,Cette partie ne comptera pas.,Esta partida no contará.,Este jogo não vai contar.,Dieses Spiel zählt nicht.,Questa partita non conterà.,Эта партия не засчитается.,Bu oyun sayılmayacak.,Ta gra się nie liczy.,Permainan ini tidak dihitung.,Ván này sẽ không được tính.,Ця гра не зарахується.,Αυτό το παιχνίδι δεν θα μετρήσει.
$3.99,$3.99,"$3,99","$3,99",$3.99,"3,99 $",$3.99,$3.99,$3.99,$3.99,$3.99,$3.99,$3.99,$3.99
"$3.99 · one-time, forever","$3.99 · one-time, forever","$3,99 · une fois, pour toujours","$3,99 · una vez, para siempre","$3.99 · pagamento único, para sempre","3,99 $ · einmalig, für immer","$3.99 · una tantum, per sempre","$3.99 · разовый платёж, навсегда","$3.99 · tek seferlik, sonsuza dek","$3.99 · jednorazowo, na zawsze","$3.99 · sekali bayar, selamanya","$3.99 · một lần, mãi mãi","$3.99 · разово, назавжди","$3.99 · μία φορά, για πάντα"
%d / %d today,%d / %d today,%d / %d aujourd'hui,%d / %d hoy,%d / %d hoje,%d / %d heute,%d / %d oggi,%d / %d сегодня,Bugün %d / %d,%d / %d dzisiaj,%d / %d hari ini,%d / %d hôm nay,%d / %d сьогодні,%d / %d σήμερα
%d average,%d average,%d moyen,%d promedio,%d na média,%d Durchschnitt,%d in media,%d в среднем,%d ortalama,średnio %d,%d rata-rata,%d trung bình,%d у середньому,%d μέσος όρος
%d best,%d best,%d meilleur,%d mejor,%d melhores,%d Beste,%d migliori,%d лучших,%d en iyi,%d najlepszych,%d terbaik,%d tốt nhất,%d найкращих,%d καλύτερο
%d blunder,%d blunder,%d gaffe,%d error grave,%d erros graves,%d Patzer,%d sviste,%d зевков,%d gaf,%d gaf,%d blunder,%d nước hỏng,%d зівків,%d γκάφες
%s got you this time.,%s got you this time.,%s t'a eu cette fois.,%s te ganó esta vez.,%s te pegou desta vez.,%s hat dich diesmal erwischt.,%s ti ha battuto stavolta.,%s обыграл вас на этот раз.,%s bu sefer seni yendi.,%s tym razem cię pokonał.,%s mengalahkanmu kali ini.,%s thắng bạn lần này rồi.,%s перемагає цього разу.,%s σε νίκησε αυτή τη φορά.
%s is thinking…,%s is thinking…,%s réfléchit…,%s está pensando…,%s está pensando…,%s denkt nach…,%s sta pensando…,%s думает…,%s düşünüyor…,%s myśli…,%s sedang berpikir…,%s đang suy nghĩ…,%s думає…,%s σκέφτεται…
"%s to move, find the best!","%s to move, find the best!","%s à jouer, trouve le meilleur coup !","%s para jugar, ¡encuentra el mejor!","Vez de %s, encontre o melhor lance!","%s am Zug, finde den besten!","%s al tratto, trova la migliore!","Ходят %s, найдите лучший!","%s oynar, en iyisini bul!","Ruch: %s, znajdź najlepszy!","Giliran %s, temukan langkah terbaik!","Đến lượt %s, tìm nước tốt nhất!","Хід: %s, знайдіть найкращий!","%s στην κίνηση, βρες την καλύτερη!"
%s wins!,%s wins!,%s gagnent !,¡%s ganan!,%s vence!,%s gewinnt!,%s vince!,Победа: %s!,%s kazandı!,%s wygrywa!,%s menang!,%s thắng!,Перемога: %s!,%s νικά!
"%s · one-time, forever","%s · one-time, forever","%s · achat unique, pour toujours","%s · compra única, para siempre","%s · pagamento único, para sempre","%s · einmalig, für immer","%s · una tantum, per sempre","%s · разовый платёж, навсегда","%s · tek seferlik, sonsuza dek","%s · jednorazowo, na zawsze","%s · sekali bayar, selamanya","%s · một lần, mãi mãi","%s · разово, назавжди","%s · μία φορά, για πάντα"
%s. Best was %s.,%s. Best was %s.,%s. Le meilleur était %s.,%s. El mejor fue %s.,%s. O melhor era %s.,%s. Am besten war %s.,%s. La migliore era %s.,%s. Лучшим был %s.,%s. En iyisi %s idi.,%s. Najlepszy był %s.,%s. Yang terbaik adalah %s.,%s. Tốt nhất là %s.,%s. Найкращим був %s.,%s. Καλύτερη ήταν η %s.
%s. The best was %s.,%s. The best was %s.,%s. Le meilleur était %s.,%s. El mejor fue %s.,%s. O melhor foi %s.,%s. Am besten war %s.,%s. La migliore era %s.,%s. Лучшим ходом был %s.,%s. En iyi hamle %s idi.,%s. Najlepszy był %s.,%s. Yang terbaik adalah %s.,%s. Nước tốt nhất là %s.,%s. Найкращим був %s.,%s. Η καλύτερη ήταν η %s.
3 / 3 today,3 / 3 today,3 / 3 aujourd'hui,3 / 3 hoy,3 / 3 hoje,3 / 3 heute,3 / 3 oggi,3 / 3 сегодня,Bugün 3 / 3,3 / 3 dzisiaj,3 / 3 hari ini,3 / 3 hôm nay,3 / 3 сьогодні,3 / 3 σήμερα
"A smooth chess game. The best move is always there, you just have to see it.","A smooth chess game. The best move is always there, you just have to see it.","Un jeu d'échecs fluide. Le meilleur coup est toujours là, il suffit de le voir.","Un juego de ajedrez fluido. El mejor movimiento siempre está ahí, solo tienes que verlo.","Um jogo de xadrez suave. O melhor lance está sempre lá, você só precisa vê-lo.","Ein flüssiges Schachspiel. Der beste Zug ist immer da, du musst ihn nur sehen.","Un gioco di scacchi fluido. La mossa migliore c'è sempre, devi solo vederla.","Плавная игра в шахматы. Лучший ход всегда рядом, нужно лишь увидеть его.","Akıcı bir satranç oyunu. En iyi hamle hep oradadır, sadece onu görmen gerekir.","Płynna gra w szachy. Najlepszy ruch zawsze tu jest, wystarczy go dostrzec.","Permainan catur yang mulus. Langkah terbaik selalu ada, kamu hanya perlu melihatnya.","Trò chơi cờ vua mượt mà. Nước đi tốt nhất luôn ở đó, bạn chỉ cần nhìn ra nó.","Плавна шахова гра. Найкращий хід завжди поруч, треба лише його побачити.","Ένα ομαλό παιχνίδι σκακιού. Η καλύτερη κίνηση είναι πάντα εκεί, απλώς πρέπει να τη δεις."
"A draw: no legal moves, but no check.","A draw: no legal moves, but no check.","Une nulle : pas de coup légal, mais pas en échec.","Tablas: sin movimientos legales, pero sin jaque.","Empate: sem lances legais, mas sem xeque.","Ein Remis: keine legalen Züge, aber kein Schach.","Patta: nessuna mossa legale, ma nessuno scacco.","Ничья: нет возможных ходов, но шаха нет.",Beraberlik: yasal hamle yok ama şah da yok.,"Remis: brak legalnych ruchów, ale bez szacha.","Remis: tak ada langkah legal, tapi tidak ada skak.","Hòa cờ: không còn nước đi hợp lệ, nhưng vua không bị chiếu.","Нічия: немає можливих ходів, але немає шаху.","Ισοπαλία: καμία νόμιμη κίνηση, αλλά χωρίς σαχ."
A fresh opening…,A fresh opening…,Une ouverture classique…,Una apertura clásica…,Uma abertura nova…,Eine frische Eröffnung…,Una nuova apertura…,Свежий дебют…,Yeni bir açılış…,Świeże otwarcie…,Pembukaan baru…,Một khai cuộc mới…,Свіжий дебют…,Ένα φρέσκο άνοιγμα…
About,About,À propos,Acerca de,Sobre,Über,Info,О приложении,Hakkında,O aplikacji,Tentang,Giới thiệu,Про гру,Σχετικά
Beginner,Beginner,Débutant,Principiante,Iniciante,Anfänger,Principiante,Новичок,Başlangıç,Początkujący,Pemula,Người mới,Початківець,Αρχάριος
Best,Best,Meilleur,Mejor,Melhor,Bester,Migliore,Лучший,En iyi,Najlepszy,Terbaik,Tốt nhất,Найкращий,Καλύτερη
Black,Black,Noirs,Negras,Pretas,Schwarz,Nero,Чёрные,Siyah,Czarne,Hitam,Đen,Чорні,Μαύρα
Blunder,Blunder,Gaffe,Error grave,Erro grave,Patzer,Svista,Зевок,Gaf,Gafa,Blunder,Nước hỏng,Зівок,Γκάφα
"Bold, sharp attacks.","Bold, sharp attacks.","Audacieuse, attaques tranchantes.","Audaz, ataques agudos.",Ataques ousados e afiados.,"Kühne, scharfe Angriffe.",Attacchi audaci e taglienti.,"Смелые, острые атаки.","Cesur, keskin saldırılar.","Śmiałe, ostre ataki.",Serangan berani dan tajam.,"Tấn công bạo dạn, sắc bén.","Сміливі, гострі атаки.","Τολμηρές, κοφτές επιθέσεις."
New chess game,New chess game,Nouvelle partie d'échecs,Nueva partida de ajedrez,Novo jogo de xadrez,Neues Schachspiel,Nuova partita,Новая партия,Yeni satranç oyunu,Nowa partia szachów,Permainan catur baru,Ván cờ mới,Нова партія,Νέο παιχνίδι σκακιού
Built with,Built with,Construit avec,Construido con,Feito com,Erstellt mit,Realizzato con,Сделано на,Şununla yapıldı,Stworzone w,Dibuat dengan,Xây dựng bằng,Створено на,Φτιαγμένο με
Calculates without mercy.,Calculates without mercy.,Calcule sans merci.,Calcula sin piedad.,Calcula sem piedade.,Rechnet ohne Gnade.,Calcola senza pietà.,Считает без пощады.,Acımadan hesaplar.,Liczy bez litości.,Menghitung tanpa ampun.,Tính toán không chút nương tay.,Рахує без жалю.,Υπολογίζει χωρίς έλεος.
Cancel,Cancel,Annuler,Cancelar,Cancelar,Abbrechen,Annulla,Отмена,İptal,Anuluj,Batal,Hủy,Скасувати,Ακύρωση
Casual,Casual,Amateur,Aficionado,Casual,Amateur,Amatoriale,Любитель,Rahat,Amator,Santai,Giải trí,Любитель,Χαλαρός
Checkmate,Checkmate,Échec et mat,Jaque mate,Xeque-mate,Schachmatt,Scacco matto,Мат,Şah mat,Szach mat,Skakmat,Chiếu hết,Мат,Ματ
Checkmate!,Checkmate!,Échec et mat !,¡Jaque mate!,Xeque-mate!,Schachmatt!,Scacco matto!,Мат!,Şah mat!,Szach mat!,Skakmat!,Chiếu hết!,Мат!,Ματ!
Checkmate. Well played.,Checkmate. Well played.,Échec et mat. Bien joué.,Jaque mate. Bien jugado.,Xeque-mate. Bem jogado.,Schachmatt. Gut gespielt.,Scacco matto. Ben giocato.,Мат. Хорошо сыграно.,Şah mat. İyi oynadın.,Szach mat. Dobrze zagrane.,Skakmat. Permainan yang bagus.,Chiếu hết. Chơi hay lắm.,Мат. Гарно зіграно.,Ματ. Ωραίο παιχνίδι.
Chess engine,Chess engine,Moteur d'échecs,Motor de ajedrez,Motor de xadrez,Schach-Engine,Motore scacchistico,Шахматный движок,Satranç motoru,Silnik szachowy,Mesin catur,Cỗ máy cờ vua,Шаховий рушій,Μηχανή σκακιού
Chess is a fairy tale of 1001 blunders.,Chess is a fairy tale of 1001 blunders.,Les échecs sont un conte de fées de 1001 gaffes.,El ajedrez es un cuento de hadas de 1001 errores graves.,O xadrez é um conto de fadas de 1001 erros graves.,Schach ist ein Märchen von 1001 Patzern.,Gli scacchi sono una fiaba di 1001 sviste.,"Шахматы, это сказка о 1001 зевке.","Satranç, 1001 gafın masalıdır.",Szachy to baśń o 1001 gafach.,Catur adalah dongeng tentang 1001 blunder.,Cờ vua là câu chuyện cổ tích về 1001 nước hỏng.,"Шахи, це казка про 1001 зівок.",Το σκάκι είναι ένα παραμύθι με 1001 γκάφες.
Chess is a struggle against one's own errors.,Chess is a struggle against one's own errors.,Les échecs sont une lutte contre ses propres erreurs.,El ajedrez es una lucha contra los propios errores.,O xadrez é uma luta contra os próprios erros.,Schach ist ein Kampf gegen die eigenen Fehler.,Gli scacchi sono una lotta contro i propri errori.,"Шахматы, это борьба со своими ошибками.","Satranç, kişinin kendi hatalarına karşı bir mücadeledir.",Szachy to walka z własnymi błędami.,Catur adalah perjuangan melawan kesalahan sendiri.,Cờ vua là cuộc đấu tranh chống lại chính những sai lầm của mình.,"Шахи, це боротьба з власними помилками.",Το σκάκι είναι μια πάλη ενάντια στα δικά σου λάθη.
Chess pieces,Chess pieces,Pièces d'échecs,Piezas de ajedrez,Peças de xadrez,Schachfiguren,Pezzi degli scacchi,Шахматные фигуры,Satranç taşları,Figury szachowe,Bidak catur,Quân cờ,Шахові фігури,Κομμάτια σκακιού
Close,Close,Fermer,Cerrar,Fechar,Schließen,Chiudi,Закрыть,Kapat,Zamknij,Tutup,Đóng,Закрити,Κλείσιμο
Club,Club,Confirmé,Avanzado,Clube,Fortgeschritten,Club,Клубный,Kulüp,Klubowy,Klub,Câu lạc bộ,Клубний,Σύλλογος
Confirm,Confirm,Confirmer,Confirmar,Confirmar,Bestätigen,Conferma,Подтвердить,Onayla,Potwierdź,Konfirmasi,Xác nhận,Підтвердити,Επιβεβαίωση
"Cool, precise, patient.","Cool, precise, patient.","Froid, précis, patient.","Frío, preciso, paciente.","Tranquilo, preciso, paciente.","Cool, präzise, geduldig.","Freddo, preciso, paziente.","Хладнокровный, точный, терпеливый.","Sakin, hassas, sabırlı.","Opanowany, precyzyjny, cierpliwy.","Tenang, tepat, sabar.","Điềm tĩnh, chính xác, kiên nhẫn.","Спокійний, точний, терплячий.","Ψύχραιμος, ακριβής, υπομονετικός."
Credits,Credits,Crédits,Créditos,Créditos,Credits,Crediti,Благодарности,Emeği geçenler,Podziękowania,Kredit,Ghi công,Подяки,Συντελεστές
"Curious, cautious, occasionally pounces.","Curious, cautious, occasionally pounces.","Curieuse, prudente, saute parfois.","Curiosa, cautelosa, salta ocasionalmente.","Curioso, cauteloso, às vezes dá o bote.","Neugierig, vorsichtig, schlägt gelegentlich zu.","Curioso, cauto, a volte si avventa.","Любопытный, осторожный, иногда набрасывается.","Meraklı, temkinli, ara sıra atılır.","Ciekawski, ostrożny, czasem atakuje.","Penasaran, hati-hati, sesekali menerkam.","Tò mò, thận trọng, thỉnh thoảng vồ mồi.","Допитливий, обережний, часом накидається.","Περίεργος, προσεκτικός, καμιά φορά ορμάει."
Draw,Draw,Nulle,Tablas,Empate,Remis,Patta,Ничья,Beraberlik,Remis,Remis,Hòa,Нічия,Ισοπαλία
Draw.,Draw.,Nulle.,Tablas.,Empate.,Remis.,Patta.,Ничья.,Beraberlik.,Remis.,Remis.,Hòa.,Нічия.,Ισοπαλία.
Emoji & icons,Emoji & icons,Émoticônes & icônes,Emojis e iconos,Emojis e ícones,Emojis & Symbole,Emoji e icone,Эмодзи и иконки,Emoji ve simgeler,Emoji & ikony,Emoji & ikon,Emoji & biểu tượng,Емодзі & іконки,Emoji & εικονίδια
Expert,Expert,Expert,Experto,Especialista,Experte,Esperto,Эксперт,Uzman,Ekspert,Ahli,Chuyên gia,Експерт,Ειδικός
FIND · THE · BEST · MOVE,FIND · THE · BEST · MOVE,TROUVE · LE · MEILLEUR · COUP,ENCUENTRA · EL · MEJOR · MOVIMIENTO,ACHE · O · MELHOR · LANCE,FINDE · DEN · BESTEN · ZUG,TROVA · LA · MOSSA · MIGLIORE,НАЙДИ · СВОЙ · ЛУЧШИЙ · ХОД,EN · İYİ · HAMLEYİ · BUL,ZNAJDŹ · TEN · NAJLEPSZY · RUCH,TEMUKAN · LANGKAH · YANG · TERBAIK,TÌM · NƯỚC · TỐT · NHẤT,ЗНАЙДІТЬ · СВІЙ · НАЙКРАЩИЙ · ХІД,ΒΡΕΣ · ΤΗΝ · ΚΑΛΥΤΕΡΗ · ΚΙΝΗΣΗ
Fifty moves without a pawn move or capture.,Fifty moves without a pawn move or capture.,Cinquante coups sans mouvement de pion ou capture.,Cincuenta movimientos sin movimiento de peón o captura.,Cinquenta lances sem mover peão nem capturar.,Fünfzig Züge ohne Bauernzug oder Schlagzug.,Cinquanta mosse senza muovere un pedone o catturare.,Пятьдесят ходов без хода пешкой и взятия.,Piyon hamlesi veya taş alışı olmadan elli hamle.,Pięćdziesiąt posunięć bez ruchu pionem ani bicia.,Lima puluh langkah tanpa gerakan pion atau penangkapan.,Năm mươi nước không có nước đi của quân tốt hay bắt quân.,П'ятдесят ходів без ходу пішаком чи взяття.,Πενήντα κινήσεις χωρίς κίνηση πιονιού ή πάρσιμο.
First moves,First moves,Premiers pas,Primeros pasos,Primeiros lances,Erste Schritte,Prime mosse,Первые ходы,İlk hamleler,Pierwsze ruchy,Langkah pertama,Những nước đi đầu,Перші ходи,Πρώτες κινήσεις
"Buy once, keep forever","Buy once, keep forever","Un seul paiement, pas d'abonnement","Un solo pago, sin suscripción","Compre uma vez, tenha para sempre","Einmal kaufen, für immer behalten","Compra una volta, tuo per sempre","Купите раз, останется навсегда","Bir kez satın al, sonsuza dek kullan","Kup raz, zachowaj na zawsze","Beli sekali, miliki selamanya","Mua một lần, giữ mãi mãi","Купіть раз, назавжди ваше","Αγόρασέ το μία φορά, δικό σου για πάντα"
Give up,Give up,Abandonner,Rendirse,Desistir,Aufgeben,Arrenditi,Сдаться,Pes et,Poddaj się,Menyerah,Đầu hàng,Здатися,Παραίτηση
Give up?,Give up?,Abandonner ?,¿Abandonar?,Desistir?,Aufgeben?,Ti arrendi?,Сдаться?,Pes edilsin mi?,Poddać się?,Menyerah?,Đầu hàng?,Здатися?,Παραίτηση;
Good,Good,Pas mal,Nada mal,Bom,Gut,Buona,Хорошо,İyi,Dobry,Bagus,Tốt,Добрий,Καλή
Grandmaster,Grandmaster,Grand Maître,Gran Maestro,Grande Mestre,Großmeister,Gran Maestro,Гроссмейстер,Büyükusta,Arcymistrz,Grandmaster,Đại kiện tướng,Гросмейстер,Γκραν Μετρ
Great,Great,Excellent,Excelente,Ótimo,Exzellent,Ottima,Отлично,Harika,Świetny,Hebat,Xuất sắc,Чудовий,Εξαιρετική
Help your pieces so they can help you.,Help your pieces so they can help you.,Aidez vos pièces pour qu'elles vous aident.,Ayuda a tus piezas para que te ayuden.,Ajude suas peças para que elas ajudem você.,"Hilf deinen Figuren, damit sie dir helfen können.","Aiuta i tuoi pezzi, così potranno aiutarti.","Помогите своим фигурам, и они помогут вам.",Taşlarına yardım et ki onlar da sana yardım etsin.,"Pomagaj swoim figurom, a one pomogą tobie.",Bantu bidakmu agar mereka bisa membantumu.,Hãy giúp quân cờ của bạn để chúng giúp lại bạn.,"Допомагайте фігурам, і вони допоможуть вам.",Βοήθα τα κομμάτια σου για να σε βοηθήσουν.
Go back home,Go back home,Revenir à l'accueil,Volver al inicio,Voltar ao início,Zurück zum Start,Torna alla home,На главную,Ana sayfaya dön,Wróć do menu głównego,Kembali ke beranda,Về màn hình chính,На головну,Επιστροφή στην αρχική
Improver,Improver,Initié,Intermedio,Praticante,Aufsteiger,Intermedio,Продвинутый,Gelişen,Rozwijający się,Berkembang,Người tiến bộ,Прогресуючий,Βελτιούμενος
Inaccuracy,Inaccuracy,Imprécision,Imprecisión,Imprecisão,Ungenauigkeit,Imprecisione,Неточность,Yanlışlık,Niedokładność,Ketidaktepatan,Thiếu chính xác,Неточність,Ανακρίβεια
It is always better to sacrifice your opponent's men.,It is always better to sacrifice your opponent's men.,Il vaut toujours mieux sacrifier les pièces de votre adversaire.,Siempre es mejor sacrificar las piezas de tu adversario.,É sempre melhor sacrificar as peças do adversário.,"Es ist immer besser, die Figuren des Gegners zu opfern.",È sempre meglio sacrificare i pezzi dell'avversario.,Всегда лучше жертвовать фигуры соперника.,Rakibinin taşlarını feda etmek her zaman daha iyidir.,Zawsze lepiej poświęcać figury przeciwnika.,Selalu lebih baik mengorbankan bidak lawan.,Thí quân của đối thủ luôn tốt hơn.,Завжди краще жертвувати фігури суперника.,Είναι πάντα καλύτερο να θυσιάζεις τα κομμάτια του αντιπάλου σου.
Just learned how the pieces move.,Just learned how the pieces move.,Sait comment bougent les pièces.,Sabe cómo se mueven las piezas.,Acabou de aprender como as peças se movem.,"Hat gerade gelernt, wie die Figuren ziehen.",Ha appena imparato come si muovono i pezzi.,"Только что узнал, как ходят фигуры.",Taşların nasıl hareket ettiğini yeni öğrendi.,"Dopiero nauczył się, jak ruszają się figury.",Baru belajar cara bidak bergerak.,Vừa học cách các quân di chuyển.,Щойно навчився ходити фігурами.,Μόλις έμαθε πώς κινούνται τα κομμάτια.
Language,Language,Langue,Idioma,Idioma,Sprache,Lingua,Язык,Dil,Język,Bahasa,Ngôn ngữ,Мова,Γλώσσα
Language: %s,Language: %s,Langue : %s,Idioma: %s,Idioma: %s,Sprache: %s,Lingua: %s,Язык: %s,Dil: %s,Język: %s,Bahasa: %s,Ngôn ngữ: %s,Мова: %s,Γλώσσα: %s
Leaps at every capture.,Leaps at every capture.,Saute sur chaque capture.,Salta en cada captura.,Ataca a cada captura.,Stürzt sich auf jeden Schlagzug.,Si lancia su ogni cattura.,Бросается на любое взятие.,Her taş alma fırsatına atlar.,Rzuca się na każde bicie.,Menyambar setiap peluang makan.,Lao vào mọi nước ăn quân.,Кидається на кожне взяття.,Ορμάει σε κάθε πάρσιμο.
Gives lots of gifts.,Gives lots of gifts.,Offre plein de cadeaux.,Regala muchas piezas.,Dá muitos presentes.,Verteilt viele Geschenke.,Fa tanti regali.,Раздаёт много подарков.,Bol bol hediye verir.,Rozdaje mnóstwo prezentów.,Suka memberi banyak hadiah.,Hay tặng quà.,Роздає багато подарунків.,Χαρίζει πολλά δώρα.
Master,Master,Maître,Maestro,Mestre,Meister,Maestro,Мастер,Usta,Mistrz,Master,Bậc thầy,Майстер,Μετρ
Menu,Menu,Menu,Menú,Menu,Menü,Menu,Меню,Menü,Menu,Menu,Menu,Меню,Μενού
Leave,Leave,Quitter,Salir,Sair,Verlassen,Esci,Выйти,Ayrıl,Wyjdź,Keluar,Thoát,Вийти,Αποχώρηση
Keep playing,Keep playing,Continuer à jouer,Seguir jugando,Continuar jogando,Weiterspielen,Continua a giocare,Продолжить,Oynamaya devam et,Graj dalej,Lanjut bermain,Tiếp tục chơi,Грати далі,Συνέχεια
Leave Puzzles?,Leave Puzzles?,Quitter les puzzles ?,¿Salir de los puzzles?,Sair dos Quebra-cabeças?,Puzzles verlassen?,Uscire dai Puzzle?,Выйти из задач?,Bulmacalardan ayrıl?,Opuścić Zagadki?,Keluar dari Teka-teki?,Thoát Câu đố?,Вийти із Задач?,Αποχώρηση από τους Γρίφους;
This run won't count today.,This run won't count today.,Cette série ne comptera pas aujourd'hui.,Esta racha no contará hoy.,Esta rodada não contará hoje.,Dieser Durchgang zählt heute nicht.,Questa sessione non conterà oggi.,Эта серия сегодня не засчитается.,Bu tur bugün sayılmayacak.,To podejście nie zostanie dziś zaliczone.,Putaran ini tidak akan dihitung hari ini.,Lượt chơi này sẽ không được tính hôm nay.,Ця спроба сьогодні не зарахується.,Αυτός ο γύρος δεν θα μετρήσει σήμερα.
Your best streak is saved.,Your best streak is saved.,Ta meilleure série est sauvegardée.,Tu mejor racha está guardada.,Sua melhor sequência está salva.,Deine beste Serie ist gespeichert.,La tua serie migliore è salvata.,Ваша лучшая серия сохранена.,En iyi serin kaydedildi.,Twoja najlepsza seria jest zapisana.,Rentetan terbaikmu tersimpan.,Chuỗi tốt nhất của bạn đã được lưu.,Вашу найкращу серію збережено.,Το καλύτερο σερί σου αποθηκεύτηκε.
Mistake,Mistake,Erreur,Error,Erro,Fehler,Errore,Ошибка,Hata,Błąd,Kesalahan,Sai lầm,Помилка,Λάθος
New game,New game,Nouvelle partie,Nuevo juego,Novo jogo,Neue Partie,Nuova partita,Новая игра,Yeni oyun,Nowa gra,Permainan baru,Ván mới,Нова гра,Νέο παιχνίδι
Choose your opponent,Choose your opponent,Choisis ton adversaire,Elige tu oponente,Escolha seu adversário,Wähle deinen Gegner,Scegli l'avversario,Выберите соперника,Rakibini seç,Wybierz przeciwnika,Pilih lawanmu,Chọn đối thủ của bạn,Оберіть суперника,Διάλεξε τον αντίπαλό σου
Newcomer,Newcomer,Novice,Novato,Novato,Neuling,Esordiente,Новенький,Acemi,Nowicjusz,Pendatang baru,Tân binh,Новачок,Νεοφερμένος
No one ever won a game by resigning.,No one ever won a game by resigning.,Personne n'a jamais gagné une partie en abandonnant.,Nadie ha ganado nunca una partida abandonando.,Ninguém jamais venceu uma partida abandonando.,Niemand hat je durch Aufgeben gewonnen.,Nessuno ha mai vinto una partita abbandonando.,"Никто ещё не выигрывал партию, сдавшись.",Hiç kimse terk ederek oyun kazanmadı.,"Nikt jeszcze nie wygrał partii, poddając się.",Tidak ada yang pernah menang dengan menyerah.,Chưa ai từng thắng ván cờ bằng cách đầu hàng.,"Ще ніхто не вигравав партію, здавшись.",Κανείς δεν κέρδισε ποτέ παρτίδα εγκαταλείποντας.
"No shame, every game teaches something.","No shame, every game teaches something.","Pas de honte, chaque partie enseigne quelque chose.","Sin vergüenza, cada partida enseña algo.","Sem vergonha, cada partida ensina algo.","Keine Schande, jede Partie lehrt etwas.","Nessuna vergogna, ogni partita insegna qualcosa.","Не стыдно, каждая партия чему-то учит.","Utanılacak bir şey yok, her oyun bir şey öğretir.","Bez wstydu, każda partia czegoś uczy.","Tidak perlu malu, setiap permainan mengajarkan sesuatu.","Đừng ngại, mỗi ván cờ đều dạy ta điều gì đó.","Не соромно, кожна гра чогось навчає.","Καμία ντροπή, κάθε παρτίδα διδάσκει κάτι."
Not enough material to checkmate.,Not enough material to checkmate.,Pas assez de matériel pour faire échec et mat.,Sin material suficiente para dar jaque mate.,Material insuficiente para dar xeque-mate.,Nicht genug Material für ein Schachmatt.,Materiale insufficiente per lo scacco matto.,Недостаточно материала для мата.,Mat için yeterli taş yok.,"Za mało materiału, by dać mata.",Materi tidak cukup untuk skakmat.,Không đủ quân để chiếu hết.,Недостатньо матеріалу для мату.,Ανεπαρκές υλικό για ματ.
Off,Off,Désactivé,Desactivado,Desligado,Aus,Spento,Выкл,Kapalı,Wył.,Mati,Tắt,Вимкнено,Ανενεργό
On,On,Activé,Activado,Ligado,An,Acceso,Вкл,Açık,Wł.,Nyala,Bật,Увімкнено,Ενεργό
